"COD_RIP","COD_REG","COD_PROV","COD_CM","COD_UTS","PRO_COM","PRO_COM_T","COMUNE","COMUNE_A","CC_UTS","SHAPE_LEN","COMUNE_u","COD_COM_6d","COD_REG20","COD_REG21","NOME_NUTS2","DEN_REG","NUTS2","DEN_RIP","COD_REGIONE","reg_file","new_code"
1,1,1,201,201,1077,"001077","Chiaverano",NA,0,18164.2366212,"CHIAVERANO","001077","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001077"
1,1,1,201,201,1079,"001079","Chiesanuova",NA,0,10777.3188139,"CHIESANUOVA","001079","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001079"
1,1,1,201,201,1089,"001089","Coazze",NA,0,41591.1220924,"COAZZE","001089","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001089"
1,1,1,201,201,1006,"001006","Almese",NA,0,17058.4390367,"ALMESE","001006","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001006"
1,1,1,201,201,1007,"001007","Alpette",NA,0,9795.56226876,"ALPETTE","001007","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001007"
1,1,1,201,201,1039,"001039","Brusasco",NA,0,22957.40117,"BRUSASCO","001039","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001039"
1,1,1,201,201,1083,"001083","Ciconio",NA,0,9304.12839505,"CICONIO","001083","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001083"
1,1,1,201,201,1062,"001062","Caselette",NA,0,19336.1816116,"CASELETTE","001062","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001062"
1,1,1,201,201,1082,"001082","Chivasso",NA,0,34047.2968159,"CHIVASSO","001082","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001082"
1,1,1,201,201,1008,"001008","Alpignano",NA,0,17986.5594925,"ALPIGNANO","001008","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001008"
1,1,1,201,201,1009,"001009","Andezeno",NA,0,13092.6490391,"ANDEZENO","001009","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001009"
1,1,1,201,201,1020,"001020","Banchette",NA,0,13861.1816419,"BANCHETTE","001020","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001020"
1,1,1,201,201,1043,"001043","Busano",NA,0,14570.1635388,"BUSANO","001043","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001043"
1,1,1,201,201,1027,"001027","Bollengo",NA,0,19885.2342282,"BOLLENGO","001027","010","010","Piemonte","Piemonte","ITC1","Nord-Ovest","Piemonte","Piemonte","001027"
